ID,Area,Role,ClearanceLevel
506,Archives,Guard,5
512,Archives,Supervisor,4
516,Archives,Guard,5
519,Reading Room,Guard,1
522,Reading Room,Supervisor,2
529,Archives,Supervisor,4
534,Entrance,Supervisor,1
536,Archives,Supervisor,4
544,Entrance,Supervisor,4
546,Archives,Guard,3
548,Entrance,Guard,4
549,Archives,Supervisor,3
552,Archives,Supervisor,3
557,Entrance,Supervisor,3
559,Entrance,Supervisor,2
561,Entrance,Guard,1
570,Entrance,Guard,1
571,Archives,Guard,5
572,Entrance,Guard,4
587,Reading Room,Guard,4
600,Archives,Guard,1
603,Archives,Supervisor,4
608,Archives,Supervisor,1
609,Entrance,Supervisor,1
612,Entrance,Supervisor,3
616,Entrance,Guard,2
628,Archives,Guard,4
639,Entrance,Guard,5
641,Entrance,Supervisor,2
642,Archives,Guard,1
646,Reading Room,Supervisor,5
661,Reading Room,Guard,5
666,Archives,Guard,5
672,Entrance,Guard,5
678,Entrance,Guard,5
685,Archives,Supervisor,5
686,Archives,Supervisor,5
687,Entrance,Guard,3
691,Archives,Guard,2
700,Reading Room,Supervisor,4
702,Entrance,Supervisor,3
706,Archives,Supervisor,2
712,Archives,Guard,2
713,Entrance,Supervisor,1
714,Reading Room,Supervisor,2
723,Archives,Guard,2
728,Entrance,Guard,5
733,Entrance,Guard,5
742,Entrance,Guard,4
751,Archives,Guard,2
752,Reading Room,Guard,2
757,Entrance,Supervisor,5
765,Entrance,Guard,4
771,Entrance,Guard,3
773,Archives,Guard,4
774,Reading Room,Supervisor,1
789,Reading Room,Guard,4
790,Archives,Guard,4
799,Entrance,Guard,4
808,Archives,Supervisor,4
809,Entrance,Guard,5
813,Archives,Guard,1
817,Reading Room,Supervisor,4
819,Entrance,Guard,4
831,Entrance,Guard,1
833,Reading Room,Guard,1
841,Reading Room,Supervisor,3
843,Archives,Guard,3
853,Reading Room,Supervisor,5
868,Archives,Supervisor,2
876,Archives,Supervisor,5
877,Entrance,Supervisor,1
881,Entrance,Guard,4
883,Reading Room,Guard,1
885,Entrance,Guard,4
886,Reading Room,Supervisor,4
887,Reading Room,Supervisor,1
894,Reading Room,Guard,3
898,Archives,Supervisor,5
899,Entrance,Supervisor,2
911,Reading Room,Supervisor,5
918,Reading Room,Guard,1
925,Reading Room,Guard,5
928,Reading Room,Guard,4
931,Entrance,Guard,4
934,Archives,Guard,5
939,Archives,Supervisor,1
941,Reading Room,Supervisor,1
964,Entrance,Guard,2
965,Archives,Guard,2
973,Entrance,Guard,2
984,Archives,Guard,4
985,Reading Room,Supervisor,3
990,Archives,Guard,4
995,Reading Room,Guard,4
998,Reading Room,Guard,3
1000,Entrance,Guard,5
1008,Reading Room,Guard,4
1014,Archives,Supervisor,5
1021,Reading Room,Supervisor,3
1025,Archives,Supervisor,4
1033,Reading Room,Supervisor,4
1038,Reading Room,Guard,2
1039,Archives,Guard,3
1054,Archives,Supervisor,3
1057,Archives,Supervisor,1
1058,Entrance,Guard,4
1060,Archives,Guard,3
1062,Archives,Supervisor,3
1064,Archives,Guard,2
1067,Reading Room,Guard,1
1068,Archives,Supervisor,3
1079,Entrance,Supervisor,3
1088,Reading Room,Guard,4
1095,Entrance,Guard,1
1098,Reading Room,Guard,3
1100,Entrance,Guard,4
1107,Reading Room,Guard,4
1113,Entrance,Supervisor,3
1119,Reading Room,Guard,3
1120,Reading Room,Guard,1
1122,Entrance,Supervisor,5
1123,Reading Room,Guard,3
1124,Archives,Supervisor,3
1140,Archives,Supervisor,1
1141,Archives,Supervisor,3
1161,Archives,Supervisor,3
1165,Entrance,Guard,3
1166,Entrance,Supervisor,4
1171,Reading Room,Guard,3
1179,Entrance,Guard,2
1183,Entrance,Supervisor,3
1187,Archives,Guard,4
1191,Entrance,Supervisor,3
1204,Entrance,Supervisor,3
1207,Entrance,Guard,4
1209,Reading Room,Guard,1
1217,Entrance,Supervisor,3
1220,Reading Room,Supervisor,1
1225,Entrance,Guard,1
1229,Reading Room,Guard,5
1240,Archives,Supervisor,3
1260,Entrance,Guard,5
1268,Reading Room,Supervisor,1
1269,Entrance,Supervisor,2
1275,Entrance,Guard,5
1276,Archives,Supervisor,4
1282,Archives,Guard,1
1283,Archives,Supervisor,1
1288,Reading Room,Guard,5
1300,Archives,Guard,2
1309,Reading Room,Supervisor,3
1312,Entrance,Supervisor,5
1319,Archives,Guard,3
1323,Reading Room,Guard,4
1325,Archives,Guard,2
1336,Reading Room,Guard,4
1342,Entrance,Guard,4
1343,Reading Room,Guard,4
1347,Archives,Supervisor,1
1351,Reading Room,Supervisor,3
1358,Archives,Supervisor,5
1362,Archives,Guard,3
1368,Archives,Guard,3
1371,Reading Room,Guard,2
1373,Archives,Guard,3
1378,Entrance,Guard,3
1381,Entrance,Guard,2
1383,Archives,Guard,2
1388,Entrance,Supervisor,3
1402,Reading Room,Supervisor,4
1403,Entrance,Guard,4
1407,Reading Room,Supervisor,1
1410,Reading Room,Supervisor,4
1416,Entrance,Supervisor,2
1423,Entrance,Supervisor,3
1427,Archives,Supervisor,1
1430,Reading Room,Supervisor,3
1434,Entrance,Guard,1
1435,Reading Room,Supervisor,2
1439,Entrance,Supervisor,5
1440,Archives,Supervisor,5
1441,Entrance,Guard,3
1442,Archives,Guard,2
1445,Archives,Supervisor,1
1446,Archives,Supervisor,1
1447,Reading Room,Guard,4
1454,Archives,Guard,5
1457,Reading Room,Supervisor,5
1458,Reading Room,Guard,5
1461,Archives,Guard,1
1472,Reading Room,Guard,3
1474,Entrance,Supervisor,4
1475,Reading Room,Guard,3
1477,Entrance,Supervisor,1
1479,Archives,Guard,3
1481,Reading Room,Guard,2
1482,Reading Room,Supervisor,5
1487,Archives,Supervisor,5
1493,Reading Room,Supervisor,4
1499,Entrance,Guard,1
1501,Archives,Guard,1
1503,Archives,Supervisor,5
1505,Archives,Supervisor,5
1509,Archives,Supervisor,5
1511,Entrance,Guard,1
1529,Entrance,Supervisor,3
1531,Entrance,Supervisor,4
1532,Entrance,Supervisor,2
1534,Archives,Supervisor,1
1536,Reading Room,Guard,2
1551,Archives,Guard,3
1555,Reading Room,Guard,2
1560,Reading Room,Supervisor,3
1578,Entrance,Guard,4
1593,Entrance,Guard,4
1610,Archives,Supervisor,4
1613,Archives,Guard,2
1614,Archives,Supervisor,5
1618,Reading Room,Guard,5
1631,Entrance,Supervisor,1
1637,Archives,Supervisor,2
1640,Archives,Supervisor,3
1649,Reading Room,Guard,4
1651,Entrance,Supervisor,4
1652,Archives,Supervisor,3
1654,Reading Room,Guard,3
1658,Reading Room,Supervisor,1
1667,Archives,Guard,5
1674,Reading Room,Guard,1
1675,Archives,Supervisor,3
1678,Reading Room,Supervisor,2
1679,Entrance,Guard,1
1687,Entrance,Guard,2
1688,Entrance,Guard,3
1693,Archives,Guard,4
1694,Archives,Supervisor,1
1699,Archives,Supervisor,4
1707,Reading Room,Supervisor,2
1712,Reading Room,Guard,5
1727,Archives,Supervisor,2
1732,Archives,Guard,5
1735,Reading Room,Supervisor,3
1737,Entrance,Supervisor,2
1738,Reading Room,Supervisor,3
1742,Archives,Guard,1
1744,Entrance,Supervisor,3
1764,Entrance,Guard,3
1765,Entrance,Supervisor,2
1769,Archives,Guard,3
1773,Reading Room,Guard,4
1778,Entrance,Guard,2
1779,Archives,Supervisor,2
1782,Archives,Guard,5
1785,Archives,Supervisor,3
1799,Reading Room,Guard,4
1800,Reading Room,Guard,5
1803,Entrance,Supervisor,2
1807,Entrance,Guard,1
1809,Archives,Guard,3
1811,Archives,Supervisor,1
1819,Entrance,Guard,3
1820,Entrance,Supervisor,4
1831,Entrance,Supervisor,5
1835,Entrance,Supervisor,4
1836,Reading Room,Supervisor,4
1839,Archives,Guard,4
1843,Archives,Supervisor,3
1850,Entrance,Supervisor,1
1852,Reading Room,Guard,4
1865,Entrance,Guard,4
1869,Reading Room,Guard,1
1871,Reading Room,Guard,1
1877,Archives,Guard,1
1879,Archives,Guard,2
1892,Entrance,Supervisor,4
1899,Reading Room,Supervisor,1
1909,Entrance,Guard,5
1917,Reading Room,Supervisor,3
1919,Reading Room,Guard,5
1922,Entrance,Guard,1
1964,Reading Room,Supervisor,1
1971,Reading Room,Supervisor,2
1972,Archives,Guard,4
1974,Entrance,Supervisor,2
1979,Entrance,Supervisor,5
1981,Entrance,Supervisor,3
1982,Entrance,Supervisor,1
1991,Entrance,Guard,5
1993,Entrance,Guard,1
2000,Reading Room,Guard,5
2015,Reading Room,Guard,5
2020,Archives,Supervisor,5
2024,Entrance,Supervisor,5
2029,Entrance,Supervisor,5
2031,Reading Room,Guard,3
2032,Reading Room,Supervisor,5
2040,Archives,Guard,2
2044,Archives,Supervisor,3
2049,Archives,Supervisor,1
2050,Entrance,Supervisor,5
2055,Archives,Supervisor,4
2058,Archives,Supervisor,5
2060,Entrance,Supervisor,1
2066,Reading Room,Supervisor,2
2067,Reading Room,Supervisor,2
2068,Entrance,Guard,3
2078,Reading Room,Guard,5
2083,Entrance,Guard,1
2090,Archives,Guard,3
2095,Reading Room,Guard,5
2107,Archives,Guard,1
2109,Archives,Guard,4
2112,Entrance,Guard,3
2121,Entrance,Supervisor,3
2123,Reading Room,Supervisor,1
2128,Archives,Supervisor,3
2129,Entrance,Guard,3
2136,Archives,Supervisor,3
2138,Entrance,Supervisor,4
2148,Reading Room,Guard,1
2149,Archives,Guard,2
2167,Reading Room,Guard,4
2177,Reading Room,Guard,3
2179,Entrance,Supervisor,2
2183,Entrance,Guard,4
2184,Reading Room,Guard,2
2187,Entrance,Supervisor,2
2190,Reading Room,Supervisor,5
2191,Archives,Guard,3
2195,Reading Room,Guard,2
2197,Entrance,Guard,5
2214,Archives,Guard,2
2226,Reading Room,Supervisor,3
2231,Reading Room,Supervisor,1
2235,Entrance,Supervisor,4
2237,Entrance,Supervisor,5
2257,Reading Room,Supervisor,5
2264,Entrance,Guard,1
2268,Archives,Supervisor,1
2269,Reading Room,Guard,2
2284,Entrance,Supervisor,4
2285,Archives,Supervisor,2
2287,Reading Room,Supervisor,5
2288,Archives,Guard,2
2295,Archives,Supervisor,1
2297,Reading Room,Supervisor,1
2300,Reading Room,Supervisor,3
2301,Archives,Supervisor,4
2311,Archives,Supervisor,1
2313,Archives,Supervisor,3
2325,Archives,Supervisor,4
2337,Reading Room,Supervisor,2
2338,Reading Room,Guard,3
2339,Entrance,Supervisor,5
2340,Reading Room,Supervisor,5
2343,Archives,Supervisor,5
2345,Entrance,Guard,3
2359,Reading Room,Supervisor,5
2360,Entrance,Guard,5
2361,Archives,Supervisor,4
2368,Reading Room,Supervisor,3
2376,Entrance,Guard,5
2384,Archives,Supervisor,4
2389,Reading Room,Guard,3
2396,Archives,Guard,4
2400,Reading Room,Supervisor,3
2402,Entrance,Supervisor,5
2414,Entrance,Guard,1
2429,Entrance,Supervisor,1
2430,Archives,Guard,2
2451,Reading Room,Guard,3
2458,Archives,Guard,4
2461,Archives,Guard,4
2464,Reading Room,Supervisor,5
2467,Entrance,Supervisor,2
2469,Entrance,Guard,2
2470,Archives,Guard,2
2481,Archives,Supervisor,2
2483,Reading Room,Supervisor,3
2489,Reading Room,Guard,2
2491,Entrance,Guard,2
2493,Reading Room,Supervisor,2
2495,Archives,Supervisor,4
2502,Archives,Supervisor,4
2505,Entrance,Supervisor,4
2508,Reading Room,Guard,2
2510,Reading Room,Supervisor,2
2511,Reading Room,Guard,5
2530,Reading Room,Supervisor,4
2538,Archives,Guard,3
2542,Archives,Supervisor,4
2546,Reading Room,Supervisor,2
2549,Archives,Supervisor,2
2550,Archives,Guard,1
2555,Reading Room,Guard,1
2556,Entrance,Guard,3
2561,Archives,Supervisor,3
2565,Reading Room,Supervisor,4
2569,Reading Room,Guard,4
2579,Archives,Supervisor,1
2580,Archives,Guard,5
2582,Entrance,Supervisor,3
2583,Entrance,Supervisor,3
2590,Reading Room,Supervisor,5
2593,Archives,Guard,2
2595,Archives,Guard,3
2596,Entrance,Supervisor,2
2601,Archives,Guard,5
2602,Archives,Guard,2
2606,Reading Room,Guard,2
2619,Archives,Supervisor,1
2625,Entrance,Guard,4
2629,Archives,Guard,5
2639,Reading Room,Guard,2
2640,Archives,Guard,3
2642,Reading Room,Supervisor,2
2643,Archives,Supervisor,1
2649,Reading Room,Guard,3
2652,Entrance,Supervisor,1
2654,Entrance,Guard,2
2655,Entrance,Supervisor,4
2660,Reading Room,Supervisor,2
2664,Reading Room,Supervisor,5
2668,Entrance,Supervisor,5
2672,Archives,Guard,3
2676,Archives,Supervisor,3
2695,Archives,Guard,3
2700,Entrance,Supervisor,1
2701,Reading Room,Supervisor,3
2703,Reading Room,Guard,5
2704,Entrance,Supervisor,2
2720,Entrance,Supervisor,1
2726,Archives,Supervisor,3
2728,Entrance,Guard,5
2732,Reading Room,Guard,3
2733,Entrance,Supervisor,4
2736,Reading Room,Guard,5
2738,Entrance,Guard,3
2740,Reading Room,Guard,4
2741,Reading Room,Supervisor,4
2751,Reading Room,Supervisor,2
2765,Reading Room,Guard,1
2767,Archives,Guard,2
2780,Reading Room,Supervisor,1
2783,Archives,Guard,5
2792,Archives,Supervisor,1
2795,Reading Room,Supervisor,4
2801,Reading Room,Supervisor,3
2802,Entrance,Supervisor,2
2809,Archives,Guard,3
2810,Entrance,Supervisor,4
2812,Archives,Guard,5
2819,Reading Room,Supervisor,4
2826,Reading Room,Supervisor,2
2838,Entrance,Guard,4
2846,Reading Room,Supervisor,5
2850,Entrance,Guard,5
2863,Reading Room,Supervisor,2
2889,Archives,Supervisor,1
2893,Entrance,Supervisor,3
2894,Entrance,Supervisor,5
2896,Archives,Supervisor,5
2903,Reading Room,Supervisor,2
2906,Archives,Supervisor,4
2910,Reading Room,Supervisor,1
2912,Entrance,Guard,2
2915,Entrance,Guard,2
2920,Entrance,Supervisor,1
2925,Archives,Guard,5
2927,Reading Room,Supervisor,4
2932,Reading Room,Supervisor,1
2933,Entrance,Supervisor,3
2937,Entrance,Supervisor,4
2939,Entrance,Supervisor,1
2943,Archives,Guard,2
2953,Archives,Guard,1
2956,Reading Room,Supervisor,1
2964,Entrance,Supervisor,5
2965,Entrance,Supervisor,1
2967,Archives,Supervisor,4
2974,Archives,Supervisor,1
2980,Archives,Supervisor,1
2981,Reading Room,Guard,1
2983,Entrance,Supervisor,5
2994,Archives,Guard,5
3003,Entrance,Guard,4
3005,Entrance,Supervisor,5
3008,Entrance,Guard,1
3018,Entrance,Supervisor,4
3023,Reading Room,Guard,3
3030,Archives,Supervisor,3
3038,Entrance,Guard,3
3046,Archives,Guard,1
3049,Archives,Supervisor,4
3051,Entrance,Guard,2
3058,Archives,Supervisor,4
3059,Reading Room,Guard,4
3061,Reading Room,Supervisor,5
3062,Entrance,Supervisor,5
3075,Entrance,Guard,4
3083,Reading Room,Supervisor,1
3085,Reading Room,Supervisor,4
3088,Archives,Supervisor,2
3091,Archives,Guard,1
3092,Archives,Guard,2
3100,Reading Room,Supervisor,3
3101,Reading Room,Supervisor,5
3105,Reading Room,Guard,4
3114,Reading Room,Guard,4
3116,Entrance,Guard,3
3120,Entrance,Supervisor,2
3127,Archives,Supervisor,5
3136,Reading Room,Guard,3
3140,Archives,Supervisor,5
3148,Entrance,Guard,3
3150,Reading Room,Guard,1
3153,Entrance,Supervisor,3
3162,Archives,Supervisor,2
3166,Entrance,Guard,1
3175,Reading Room,Supervisor,5
3185,Reading Room,Supervisor,4
3190,Archives,Supervisor,3
3193,Reading Room,Guard,2
3204,Entrance,Guard,5
3205,Reading Room,Guard,4
3209,Entrance,Guard,1
3212,Entrance,Supervisor,2
3217,Entrance,Guard,3
3228,Entrance,Guard,4
3231,Entrance,Supervisor,3
3238,Entrance,Supervisor,5
3243,Reading Room,Supervisor,4
3251,Archives,Guard,5
3268,Archives,Guard,4
3272,Reading Room,Guard,1
3274,Entrance,Supervisor,5
3279,Archives,Supervisor,5
3293,Archives,Guard,1
3298,Archives,Supervisor,5
3308,Reading Room,Guard,5
3312,Reading Room,Guard,5
3314,Reading Room,Guard,3
3317,Entrance,Supervisor,3
3321,Entrance,Guard,3
3323,Archives,Supervisor,3
3325,Entrance,Guard,4
3326,Reading Room,Guard,5
3329,Reading Room,Supervisor,3
3336,Archives,Supervisor,2
3338,Archives,Supervisor,4
3339,Reading Room,Guard,4
3341,Archives,Supervisor,1
3353,Archives,Guard,1
3365,Reading Room,Supervisor,5
3369,Entrance,Guard,4
3373,Archives,Supervisor,2
3374,Reading Room,Guard,4
3386,Reading Room,Guard,4
3387,Entrance,Guard,3
3391,Entrance,Guard,2
3396,Entrance,Guard,1
3400,Reading Room,Supervisor,3
3401,Archives,Guard,1
3409,Reading Room,Supervisor,5
3411,Archives,Guard,5
3415,Archives,Supervisor,1
3423,Reading Room,Guard,5
3424,Archives,Supervisor,3
3426,Entrance,Supervisor,2
3432,Archives,Guard,1
3434,Entrance,Supervisor,4
3460,Reading Room,Guard,5
3466,Archives,Guard,4
3468,Entrance,Guard,2
3473,Entrance,Guard,2
3475,Entrance,Guard,5
3476,Entrance,Guard,4
3479,Archives,Supervisor,4
3481,Archives,Supervisor,4
3491,Archives,Guard,2
3493,Entrance,Supervisor,1
3495,Reading Room,Supervisor,1
3502,Archives,Guard,3
3503,Archives,Supervisor,4
3504,Reading Room,Guard,2
3506,Entrance,Supervisor,1
3510,Archives,Supervisor,3
3511,Reading Room,Guard,5
3515,Reading Room,Supervisor,2
3524,Entrance,Guard,3
3531,Reading Room,Supervisor,5
3534,Archives,Supervisor,2
3537,Entrance,Guard,2
3538,Archives,Guard,5
3547,Archives,Supervisor,3
3550,Archives,Guard,3
3552,Archives,Supervisor,2
3554,Entrance,Supervisor,5
3566,Archives,Supervisor,5
3571,Reading Room,Guard,2
3572,Archives,Supervisor,1
3574,Archives,Guard,3
3579,Archives,Supervisor,3
3586,Reading Room,Supervisor,1
3595,Entrance,Guard,5
3599,Entrance,Supervisor,3
3605,Entrance,Guard,1
3608,Reading Room,Guard,5
3609,Reading Room,Supervisor,4
3610,Entrance,Supervisor,3
3612,Entrance,Guard,3
3617,Reading Room,Guard,4
3618,Reading Room,Supervisor,5
3633,Reading Room,Guard,5
3634,Reading Room,Supervisor,5
3642,Entrance,Supervisor,2
3647,Archives,Guard,2
3654,Entrance,Supervisor,2
3665,Entrance,Guard,1
3673,Entrance,Guard,2
3674,Archives,Supervisor,4
3684,Reading Room,Guard,4
3691,Archives,Guard,3
3698,Archives,Guard,1
3701,Entrance,Supervisor,3
3703,Archives,Guard,1
3705,Reading Room,Supervisor,4
3706,Reading Room,Supervisor,1
3707,Archives,Guard,1
3708,Archives,Guard,3
3713,Archives,Guard,4
3721,Entrance,Supervisor,3
3722,Archives,Supervisor,4
3727,Entrance,Supervisor,1
3728,Reading Room,Guard,3
3730,Archives,Supervisor,4
3732,Entrance,Supervisor,3
3749,Reading Room,Guard,5
3750,Entrance,Guard,4
3759,Archives,Guard,2
3760,Reading Room,Supervisor,1
3765,Reading Room,Supervisor,4
3776,Archives,Supervisor,5
3781,Archives,Supervisor,2
3787,Entrance,Supervisor,1
3788,Reading Room,Supervisor,5
3790,Entrance,Supervisor,4
3791,Entrance,Guard,1
3792,Entrance,Supervisor,2
3796,Entrance,Guard,3
3797,Archives,Supervisor,3
3802,Archives,Guard,5
3805,Entrance,Supervisor,4
3807,Archives,Supervisor,5
3814,Entrance,Guard,1
3823,Reading Room,Guard,1
3828,Reading Room,Supervisor,2
3841,Entrance,Supervisor,4
3844,Entrance,Supervisor,5
3845,Entrance,Guard,5
3847,Archives,Guard,3
3851,Archives,Guard,3
3866,Entrance,Guard,4
3870,Archives,Supervisor,1
3875,Archives,Guard,2
3876,Entrance,Guard,4
3877,Entrance,Guard,3
3881,Entrance,Supervisor,3
3883,Archives,Guard,1
3884,Entrance,Supervisor,3
3886,Entrance,Guard,5
3892,Reading Room,Supervisor,2
3908,Entrance,Supervisor,5
3914,Reading Room,Guard,5
3917,Archives,Supervisor,3
3920,Entrance,Guard,3
3925,Archives,Supervisor,3
3931,Reading Room,Supervisor,1
3938,Archives,Supervisor,1
3940,Reading Room,Guard,1
3943,Archives,Supervisor,1
3952,Reading Room,Supervisor,2
3956,Reading Room,Supervisor,4
3957,Archives,Guard,2
3961,Archives,Supervisor,4
3965,Entrance,Supervisor,5
3970,Reading Room,Guard,2
3971,Entrance,Supervisor,4
3978,Archives,Guard,4
3983,Entrance,Supervisor,4
3984,Archives,Supervisor,4
3989,Archives,Guard,5
3991,Reading Room,Guard,4
3992,Archives,Supervisor,2
3996,Archives,Guard,4
4009,Archives,Supervisor,2
4023,Reading Room,Guard,2
4026,Archives,Supervisor,2
4027,Reading Room,Supervisor,2
4042,Reading Room,Guard,1
4049,Reading Room,Supervisor,2
4058,Archives,Guard,5
4068,Reading Room,Guard,3
4071,Reading Room,Supervisor,1
4072,Archives,Guard,1
4074,Entrance,Guard,5
4076,Entrance,Guard,2
4077,Archives,Guard,5
4079,Reading Room,Supervisor,1
4085,Archives,Guard,5
4087,Entrance,Guard,2
4090,Entrance,Guard,3
4091,Archives,Guard,3
4092,Reading Room,Supervisor,1
4095,Reading Room,Supervisor,5
4097,Reading Room,Supervisor,1
4104,Entrance,Supervisor,1
4106,Archives,Supervisor,1
4115,Archives,Guard,4
4121,Entrance,Guard,1
4131,Archives,Guard,4
4138,Reading Room,Supervisor,1
4141,Reading Room,Guard,1
4143,Reading Room,Guard,3
4148,Archives,Guard,3
4154,Reading Room,Supervisor,2
4156,Archives,Guard,1
4157,Entrance,Supervisor,1
4168,Entrance,Supervisor,4
4170,Reading Room,Guard,1
4180,Reading Room,Supervisor,4
4181,Reading Room,Supervisor,1
4194,Entrance,Supervisor,4
4195,Reading Room,Supervisor,1
4206,Archives,Guard,1
4207,Reading Room,Supervisor,4
4216,Reading Room,Supervisor,2
4221,Archives,Guard,4
4239,Archives,Supervisor,2
4243,Entrance,Supervisor,4
4247,Reading Room,Supervisor,1
4248,Archives,Supervisor,2
4251,Archives,Supervisor,1
4255,Archives,Guard,2
4260,Archives,Supervisor,5
4268,Archives,Guard,1
4274,Reading Room,Guard,5
4276,Archives,Guard,4
4278,Archives,Guard,2
4279,Entrance,Guard,5
4290,Archives,Guard,2
4291,Entrance,Guard,5
4298,Entrance,Guard,3
4299,Entrance,Supervisor,4
4301,Archives,Supervisor,1
4304,Archives,Supervisor,1
4327,Entrance,Supervisor,3
4330,Entrance,Guard,2
4334,Entrance,Supervisor,2
4339,Reading Room,Supervisor,3
4345,Entrance,Guard,3
4346,Archives,Supervisor,1
4351,Entrance,Guard,1
4354,Entrance,Guard,2
4357,Archives,Guard,5
4377,Reading Room,Guard,1
4385,Archives,Supervisor,3
4388,Reading Room,Guard,3
4395,Archives,Supervisor,2
4396,Reading Room,Supervisor,3
4436,Entrance,Guard,3
4438,Entrance,Supervisor,2
4439,Entrance,Supervisor,1
4442,Entrance,Supervisor,5
4444,Entrance,Guard,1
4456,Reading Room,Guard,1
4457,Entrance,Supervisor,5
4460,Reading Room,Supervisor,1
4468,Reading Room,Supervisor,3
4469,Archives,Guard,2
4480,Entrance,Supervisor,4
4481,Entrance,Guard,1
4502,Archives,Supervisor,5
4504,Entrance,Guard,4
4508,Reading Room,Guard,4
4517,Entrance,Supervisor,2
4524,Entrance,Guard,4
4527,Entrance,Supervisor,5
4528,Archives,Guard,2
4530,Archives,Guard,1
4531,Entrance,Guard,1
4536,Archives,Supervisor,2
4540,Reading Room,Guard,5
4541,Archives,Supervisor,2
4544,Entrance,Supervisor,3
4552,Entrance,Guard,2
4556,Reading Room,Guard,4
4561,Entrance,Supervisor,5
4569,Archives,Guard,2
4572,Reading Room,Guard,1
4573,Archives,Supervisor,4
4576,Archives,Supervisor,3
4577,Reading Room,Supervisor,1
4582,Reading Room,Supervisor,5
4585,Entrance,Supervisor,4
4586,Entrance,Supervisor,2
4595,Reading Room,Guard,1
4598,Reading Room,Guard,2
4600,Entrance,Supervisor,1
4603,Entrance,Guard,3
4606,Archives,Supervisor,1
4613,Archives,Supervisor,4
4617,Reading Room,Guard,5
4629,Reading Room,Guard,2
4638,Entrance,Supervisor,2
4641,Reading Room,Guard,2
4642,Archives,Guard,4
4654,Entrance,Supervisor,3
4656,Entrance,Supervisor,5
4659,Archives,Guard,1
4660,Archives,Guard,4
4661,Entrance,Guard,4
4666,Reading Room,Supervisor,2
4668,Entrance,Guard,3
4669,Entrance,Supervisor,4
4684,Entrance,Supervisor,4
4686,Reading Room,Supervisor,3
4687,Entrance,Supervisor,3
4689,Archives,Supervisor,1
4691,Archives,Guard,5
4692,Reading Room,Supervisor,4
4693,Entrance,Guard,4
4697,Reading Room,Supervisor,1
4700,Reading Room,Guard,4
4705,Entrance,Guard,1
4709,Reading Room,Guard,2
