ID,Workstation,DeskNumber,Floor
651,Workstation-10,Desk-80,4
675,Workstation-16,Desk-73,5
678,Workstation-99,Desk-49,4
680,Workstation-53,Desk-70,2
698,Workstation-91,Desk-62,3
699,Workstation-91,Desk-75,1
707,Workstation-42,Desk-85,3
713,Workstation-79,Desk-150,3
714,Workstation-2,Desk-85,5
715,Workstation-74,Desk-92,5
721,Workstation-44,Desk-115,1
737,Workstation-28,Desk-68,3
739,Workstation-22,Desk-137,1
744,Workstation-16,Desk-70,3
747,Workstation-88,Desk-39,1
749,Workstation-59,Desk-117,4
753,Workstation-25,Desk-7,2
756,Workstation-21,Desk-100,5
763,Workstation-49,Desk-42,4
764,Workstation-42,Desk-24,5
768,Workstation-28,Desk-42,2
773,Workstation-44,Desk-60,4
776,Workstation-81,Desk-27,3
777,Workstation-77,Desk-42,1
783,Workstation-3,Desk-57,4
784,Workstation-38,Desk-84,5
785,Workstation-59,Desk-52,3
786,Workstation-67,Desk-97,2
788,Workstation-35,Desk-76,3
792,Workstation-43,Desk-7,5
793,Workstation-62,Desk-63,4
794,Workstation-66,Desk-55,2
799,Workstation-47,Desk-128,4
800,Workstation-33,Desk-110,4
810,Workstation-46,Desk-28,3
811,Workstation-57,Desk-127,5
816,Workstation-91,Desk-107,2
818,Workstation-7,Desk-47,3
823,Workstation-13,Desk-51,3
827,Workstation-43,Desk-71,1
828,Workstation-27,Desk-136,4
833,Workstation-89,Desk-53,1
843,Workstation-79,Desk-23,2
849,Workstation-38,Desk-27,3
854,Workstation-76,Desk-42,3
855,Workstation-50,Desk-14,4
858,Workstation-9,Desk-66,3
862,Workstation-43,Desk-38,4
867,Workstation-99,Desk-75,4
868,Workstation-24,Desk-53,1
869,Workstation-100,Desk-85,2
878,Workstation-66,Desk-121,1
882,Workstation-95,Desk-117,3
900,Workstation-24,Desk-49,4
902,Workstation-66,Desk-115,3
905,Workstation-23,Desk-150,5
906,Workstation-91,Desk-138,3
907,Workstation-72,Desk-28,1
910,Workstation-94,Desk-95,3
911,Workstation-31,Desk-110,5
916,Workstation-9,Desk-14,3
917,Workstation-57,Desk-113,5
920,Workstation-65,Desk-109,3
924,Workstation-9,Desk-90,5
935,Workstation-100,Desk-17,1
942,Workstation-46,Desk-59,5
945,Workstation-74,Desk-139,4
955,Workstation-87,Desk-34,3
958,Workstation-96,Desk-75,2
959,Workstation-2,Desk-143,3
960,Workstation-60,Desk-72,2
961,Workstation-45,Desk-119,4
963,Workstation-21,Desk-30,3
964,Workstation-7,Desk-69,3
967,Workstation-100,Desk-17,5
970,Workstation-94,Desk-10,3
973,Workstation-88,Desk-147,5
974,Workstation-88,Desk-93,1
983,Workstation-92,Desk-136,2
987,Workstation-76,Desk-70,1
989,Workstation-95,Desk-27,2
990,Workstation-93,Desk-9,2
991,Workstation-45,Desk-142,2
1001,Workstation-5,Desk-47,5
1010,Workstation-71,Desk-4,3
1013,Workstation-23,Desk-135,2
1015,Workstation-75,Desk-71,4
1020,Workstation-3,Desk-139,4
1021,Workstation-76,Desk-67,1
1022,Workstation-87,Desk-94,4
1035,Workstation-40,Desk-44,2
1036,Workstation-76,Desk-92,3
1037,Workstation-50,Desk-101,1
1054,Workstation-59,Desk-36,4
1056,Workstation-33,Desk-82,3
1059,Workstation-100,Desk-39,1
1064,Workstation-46,Desk-22,2
1077,Workstation-3,Desk-77,1
1078,Workstation-12,Desk-13,2
1079,Workstation-22,Desk-127,2
1081,Workstation-47,Desk-125,4
1083,Workstation-86,Desk-107,5
1090,Workstation-37,Desk-57,2
1107,Workstation-1,Desk-100,1
1110,Workstation-31,Desk-22,4
1115,Workstation-70,Desk-27,1
1117,Workstation-56,Desk-15,2
1122,Workstation-57,Desk-82,1
1152,Workstation-74,Desk-126,1
1154,Workstation-87,Desk-66,5
1155,Workstation-12,Desk-21,2
1163,Workstation-45,Desk-125,4
1164,Workstation-71,Desk-110,3
1167,Workstation-69,Desk-150,5
1172,Workstation-77,Desk-148,5
1178,Workstation-25,Desk-96,1
1181,Workstation-65,Desk-148,1
1188,Workstation-92,Desk-12,1
1189,Workstation-97,Desk-39,1
1191,Workstation-57,Desk-22,5
1192,Workstation-42,Desk-135,4
1198,Workstation-52,Desk-104,5
1215,Workstation-56,Desk-72,4
1221,Workstation-84,Desk-15,5
1223,Workstation-17,Desk-7,1
1224,Workstation-15,Desk-132,2
1225,Workstation-7,Desk-42,5
1231,Workstation-97,Desk-24,2
1242,Workstation-94,Desk-66,2
1243,Workstation-55,Desk-67,1
1250,Workstation-3,Desk-136,4
1252,Workstation-19,Desk-118,1
1256,Workstation-46,Desk-127,1
1262,Workstation-5,Desk-64,5
1269,Workstation-86,Desk-63,2
1274,Workstation-97,Desk-145,3
1279,Workstation-5,Desk-111,1
1281,Workstation-2,Desk-35,4
1286,Workstation-47,Desk-35,4
1292,Workstation-72,Desk-145,5
1298,Workstation-70,Desk-41,5
1305,Workstation-51,Desk-114,3
1312,Workstation-82,Desk-138,5
1319,Workstation-97,Desk-65,2
1320,Workstation-70,Desk-59,1
1323,Workstation-30,Desk-147,4
1331,Workstation-4,Desk-81,1
1340,Workstation-65,Desk-109,5
1342,Workstation-23,Desk-150,3
1344,Workstation-1,Desk-113,4
1347,Workstation-40,Desk-46,5
1366,Workstation-72,Desk-112,2
1373,Workstation-65,Desk-47,5
1380,Workstation-53,Desk-128,4
1383,Workstation-96,Desk-108,1
1388,Workstation-51,Desk-123,3
1390,Workstation-53,Desk-138,4
1397,Workstation-1,Desk-108,4
1400,Workstation-7,Desk-22,3
1403,Workstation-13,Desk-38,1
1412,Workstation-9,Desk-79,1
1413,Workstation-90,Desk-70,5
1423,Workstation-8,Desk-114,4
1424,Workstation-14,Desk-70,4
1432,Workstation-59,Desk-38,1
1437,Workstation-88,Desk-104,3
1440,Workstation-10,Desk-9,4
1445,Workstation-62,Desk-76,1
1456,Workstation-18,Desk-81,1
1460,Workstation-58,Desk-71,5
1462,Workstation-51,Desk-116,3
1463,Workstation-15,Desk-7,2
1464,Workstation-56,Desk-130,2
1465,Workstation-25,Desk-120,2
1468,Workstation-76,Desk-81,5
1478,Workstation-35,Desk-120,2
1479,Workstation-80,Desk-19,2
1483,Workstation-52,Desk-7,2
1484,Workstation-73,Desk-131,4
1488,Workstation-6,Desk-124,4
1490,Workstation-39,Desk-68,2
1491,Workstation-3,Desk-41,2
1495,Workstation-91,Desk-24,2
1500,Workstation-87,Desk-4,5
1508,Workstation-21,Desk-134,3
1514,Workstation-71,Desk-57,5
1516,Workstation-30,Desk-104,1
1520,Workstation-22,Desk-46,3
1528,Workstation-7,Desk-113,3
1530,Workstation-18,Desk-100,4
1537,Workstation-61,Desk-112,4
1538,Workstation-95,Desk-135,3
1543,Workstation-24,Desk-61,1
1544,Workstation-13,Desk-39,5
1548,Workstation-18,Desk-33,3
1552,Workstation-52,Desk-18,3
1564,Workstation-38,Desk-38,1
1565,Workstation-27,Desk-58,1
1572,Workstation-17,Desk-46,5
1584,Workstation-6,Desk-117,4
1592,Workstation-13,Desk-73,4
1596,Workstation-23,Desk-33,3
1598,Workstation-34,Desk-69,5
1617,Workstation-73,Desk-120,1
1619,Workstation-59,Desk-20,1
1622,Workstation-98,Desk-122,3
1623,Workstation-92,Desk-138,5
1635,Workstation-91,Desk-98,5
1638,Workstation-92,Desk-59,1
1639,Workstation-43,Desk-37,4
1641,Workstation-11,Desk-135,3
1644,Workstation-66,Desk-93,1
1645,Workstation-75,Desk-102,3
1647,Workstation-13,Desk-135,4
1650,Workstation-66,Desk-57,3
1656,Workstation-93,Desk-80,3
1664,Workstation-11,Desk-100,4
1667,Workstation-27,Desk-73,3
1675,Workstation-99,Desk-80,2
1683,Workstation-58,Desk-7,2
1687,Workstation-24,Desk-10,5
1688,Workstation-11,Desk-109,5
1690,Workstation-55,Desk-77,2
1694,Workstation-88,Desk-85,3
1702,Workstation-57,Desk-21,3
1709,Workstation-93,Desk-58,2
1710,Workstation-61,Desk-56,3
1713,Workstation-12,Desk-73,3
1715,Workstation-88,Desk-28,1
1716,Workstation-43,Desk-71,5
1720,Workstation-56,Desk-11,1
1721,Workstation-60,Desk-43,2
1724,Workstation-86,Desk-65,3
1725,Workstation-9,Desk-106,5
1731,Workstation-68,Desk-18,5
1740,Workstation-76,Desk-122,3
1751,Workstation-8,Desk-58,2
1759,Workstation-7,Desk-90,4
1763,Workstation-97,Desk-81,4
1764,Workstation-30,Desk-148,5
1767,Workstation-9,Desk-21,5
1784,Workstation-60,Desk-128,2
1792,Workstation-48,Desk-120,1
1793,Workstation-83,Desk-118,1
1814,Workstation-90,Desk-59,3
1818,Workstation-63,Desk-92,5
1821,Workstation-93,Desk-22,3
1823,Workstation-69,Desk-4,2
1841,Workstation-66,Desk-77,1
1845,Workstation-72,Desk-6,1
1854,Workstation-80,Desk-30,1
1858,Workstation-24,Desk-55,3
1865,Workstation-55,Desk-23,2
1867,Workstation-43,Desk-69,1
1871,Workstation-48,Desk-7,1
1872,Workstation-49,Desk-46,5
1878,Workstation-21,Desk-4,5
1880,Workstation-21,Desk-17,5
1887,Workstation-65,Desk-55,4
1895,Workstation-49,Desk-83,5
1902,Workstation-88,Desk-13,4
1911,Workstation-69,Desk-109,5
1919,Workstation-28,Desk-27,5
1930,Workstation-76,Desk-135,2
1934,Workstation-43,Desk-14,3
1936,Workstation-94,Desk-9,3
1938,Workstation-35,Desk-148,4
1949,Workstation-51,Desk-82,3
1959,Workstation-25,Desk-109,5
1960,Workstation-6,Desk-42,2
1963,Workstation-8,Desk-128,3
1970,Workstation-58,Desk-70,5
1974,Workstation-16,Desk-16,5
1986,Workstation-62,Desk-74,3
1987,Workstation-28,Desk-12,4
1988,Workstation-75,Desk-15,5
1993,Workstation-59,Desk-62,4
1994,Workstation-54,Desk-57,2
1995,Workstation-65,Desk-21,5
1996,Workstation-76,Desk-45,1
1999,Workstation-78,Desk-150,1
2001,Workstation-56,Desk-121,1
2011,Workstation-51,Desk-61,1
2012,Workstation-68,Desk-126,4
2017,Workstation-4,Desk-86,1
2021,Workstation-44,Desk-106,5
2022,Workstation-13,Desk-10,5
2024,Workstation-66,Desk-25,3
2031,Workstation-49,Desk-114,2
2037,Workstation-63,Desk-20,1
2042,Workstation-55,Desk-3,2
2049,Workstation-9,Desk-43,4
2050,Workstation-42,Desk-13,1
2057,Workstation-84,Desk-66,5
2059,Workstation-60,Desk-8,1
2060,Workstation-51,Desk-140,4
2066,Workstation-83,Desk-106,1
2068,Workstation-27,Desk-59,1
2070,Workstation-35,Desk-68,3
2071,Workstation-58,Desk-105,3
2076,Workstation-44,Desk-15,1
2080,Workstation-30,Desk-122,3
2086,Workstation-57,Desk-121,5
2089,Workstation-25,Desk-67,3
2094,Workstation-14,Desk-60,4
2099,Workstation-29,Desk-21,5
2101,Workstation-72,Desk-19,1
2103,Workstation-18,Desk-106,2
2108,Workstation-30,Desk-78,1
2110,Workstation-7,Desk-76,2
2114,Workstation-25,Desk-146,4
2121,Workstation-53,Desk-35,4
2131,Workstation-84,Desk-26,1
2132,Workstation-82,Desk-33,2
2133,Workstation-100,Desk-142,1
2136,Workstation-54,Desk-60,2
2153,Workstation-70,Desk-78,2
2157,Workstation-8,Desk-92,1
2159,Workstation-87,Desk-79,2
2167,Workstation-51,Desk-27,5
2174,Workstation-94,Desk-62,3
2178,Workstation-82,Desk-150,2
2185,Workstation-43,Desk-115,2
2197,Workstation-18,Desk-135,5
2211,Workstation-39,Desk-53,5
2220,Workstation-11,Desk-150,3
2222,Workstation-51,Desk-74,4
2225,Workstation-64,Desk-89,1
2234,Workstation-1,Desk-48,1
2235,Workstation-33,Desk-92,4
2240,Workstation-4,Desk-75,4
2247,Workstation-64,Desk-40,5
2250,Workstation-73,Desk-143,3
2258,Workstation-96,Desk-86,2
2270,Workstation-87,Desk-148,1
2282,Workstation-98,Desk-63,2
2285,Workstation-27,Desk-50,4
2304,Workstation-100,Desk-102,1
2307,Workstation-64,Desk-86,5
2308,Workstation-22,Desk-76,3
2313,Workstation-1,Desk-60,4
2316,Workstation-94,Desk-33,4
2323,Workstation-24,Desk-94,4
2328,Workstation-46,Desk-37,2
2334,Workstation-85,Desk-101,2
2342,Workstation-18,Desk-20,2
2344,Workstation-49,Desk-34,5
2345,Workstation-98,Desk-73,1
2363,Workstation-62,Desk-114,5
2367,Workstation-73,Desk-24,4
2370,Workstation-98,Desk-138,1
2371,Workstation-32,Desk-142,5
2372,Workstation-42,Desk-13,5
2381,Workstation-56,Desk-26,3
2388,Workstation-35,Desk-5,4
2398,Workstation-14,Desk-77,3
2402,Workstation-62,Desk-106,2
2407,Workstation-24,Desk-61,3
2411,Workstation-22,Desk-128,5
2439,Workstation-85,Desk-92,2
2443,Workstation-84,Desk-108,2
2447,Workstation-37,Desk-6,3
2451,Workstation-60,Desk-31,1
2459,Workstation-76,Desk-36,3
2465,Workstation-27,Desk-19,3
2466,Workstation-68,Desk-6,2
2467,Workstation-17,Desk-77,2
2478,Workstation-73,Desk-92,2
2479,Workstation-86,Desk-64,1
2483,Workstation-69,Desk-119,5
2500,Workstation-75,Desk-28,4
2514,Workstation-5,Desk-139,5
2527,Workstation-68,Desk-109,5
2534,Workstation-92,Desk-65,2
2535,Workstation-78,Desk-80,5
2539,Workstation-74,Desk-63,5
2543,Workstation-93,Desk-54,2
2546,Workstation-93,Desk-20,2
2564,Workstation-89,Desk-68,1
2571,Workstation-97,Desk-119,2
2577,Workstation-88,Desk-51,1
2578,Workstation-58,Desk-56,1
2584,Workstation-32,Desk-89,1
2587,Workstation-29,Desk-67,3
2589,Workstation-95,Desk-67,1
2590,Workstation-63,Desk-56,3
2595,Workstation-47,Desk-128,1
2597,Workstation-57,Desk-37,3
2598,Workstation-53,Desk-115,5
2607,Workstation-94,Desk-11,3
2617,Workstation-14,Desk-6,2
2622,Workstation-21,Desk-28,1
2630,Workstation-98,Desk-139,2
2636,Workstation-17,Desk-76,5
2637,Workstation-86,Desk-86,5
2639,Workstation-66,Desk-78,5
2640,Workstation-13,Desk-58,5
2647,Workstation-7,Desk-5,4
2666,Workstation-7,Desk-104,1
2667,Workstation-60,Desk-135,4
2670,Workstation-7,Desk-131,1
2671,Workstation-89,Desk-20,1
2676,Workstation-27,Desk-123,4
2680,Workstation-29,Desk-141,2
2687,Workstation-100,Desk-75,5
2691,Workstation-9,Desk-8,2
2692,Workstation-57,Desk-51,5
2696,Workstation-18,Desk-38,5
2697,Workstation-77,Desk-55,2
2699,Workstation-94,Desk-57,5
2702,Workstation-54,Desk-113,5
2707,Workstation-2,Desk-32,3
2708,Workstation-97,Desk-54,3
2715,Workstation-67,Desk-60,1
2717,Workstation-94,Desk-67,5
2727,Workstation-72,Desk-94,2
2738,Workstation-42,Desk-99,3
2740,Workstation-97,Desk-59,2
2745,Workstation-72,Desk-129,2
2747,Workstation-3,Desk-35,1
2748,Workstation-9,Desk-45,2
2749,Workstation-74,Desk-14,2
2751,Workstation-87,Desk-16,5
2760,Workstation-84,Desk-51,5
2761,Workstation-35,Desk-83,2
2762,Workstation-33,Desk-128,1
2763,Workstation-72,Desk-28,4
2776,Workstation-42,Desk-32,1
2777,Workstation-14,Desk-23,4
2780,Workstation-6,Desk-128,1
2785,Workstation-73,Desk-30,2
2787,Workstation-28,Desk-51,1
2790,Workstation-41,Desk-33,5
2794,Workstation-85,Desk-7,4
2795,Workstation-69,Desk-6,5
2797,Workstation-14,Desk-141,4
2799,Workstation-26,Desk-53,3
2801,Workstation-72,Desk-41,2
2804,Workstation-9,Desk-113,4
2806,Workstation-82,Desk-80,4
2808,Workstation-90,Desk-63,1
2810,Workstation-98,Desk-40,1
2813,Workstation-56,Desk-82,1
2818,Workstation-2,Desk-9,4
2833,Workstation-67,Desk-90,5
2834,Workstation-55,Desk-25,5
2837,Workstation-46,Desk-18,2
2839,Workstation-26,Desk-115,2
2841,Workstation-85,Desk-145,2
2842,Workstation-29,Desk-26,3
2846,Workstation-98,Desk-80,1
2868,Workstation-2,Desk-70,4
2880,Workstation-52,Desk-141,4
2907,Workstation-37,Desk-3,2
2909,Workstation-46,Desk-124,5
2918,Workstation-70,Desk-90,3
2920,Workstation-47,Desk-46,5
2922,Workstation-32,Desk-129,5
2923,Workstation-35,Desk-138,4
2927,Workstation-47,Desk-110,1
2928,Workstation-22,Desk-71,2
2933,Workstation-14,Desk-39,1
2934,Workstation-66,Desk-89,2
2936,Workstation-65,Desk-76,4
2937,Workstation-16,Desk-33,4
2938,Workstation-67,Desk-132,2
2951,Workstation-57,Desk-74,3
2955,Workstation-16,Desk-59,3
2956,Workstation-66,Desk-108,4
2957,Workstation-62,Desk-144,5
2965,Workstation-23,Desk-61,2
2966,Workstation-3,Desk-91,3
2968,Workstation-89,Desk-97,5
2969,Workstation-1,Desk-97,1
2971,Workstation-68,Desk-142,5
2975,Workstation-88,Desk-20,2
2977,Workstation-58,Desk-70,2
2981,Workstation-10,Desk-113,3
2985,Workstation-32,Desk-45,1
2989,Workstation-70,Desk-129,1
2997,Workstation-98,Desk-138,3
2998,Workstation-50,Desk-83,5
2999,Workstation-36,Desk-7,2
3010,Workstation-55,Desk-120,5
3012,Workstation-5,Desk-3,3
3028,Workstation-14,Desk-101,2
3035,Workstation-41,Desk-85,3
3038,Workstation-36,Desk-50,4
3043,Workstation-1,Desk-101,5
3044,Workstation-28,Desk-16,4
3045,Workstation-25,Desk-5,4
3050,Workstation-100,Desk-4,2
3053,Workstation-73,Desk-137,1
3055,Workstation-12,Desk-21,1
3056,Workstation-64,Desk-24,3
3057,Workstation-75,Desk-142,2
3058,Workstation-23,Desk-8,5
3065,Workstation-48,Desk-22,5
3066,Workstation-44,Desk-33,4
3073,Workstation-82,Desk-83,3
3079,Workstation-66,Desk-150,5
3088,Workstation-46,Desk-27,4
3093,Workstation-61,Desk-15,2
3097,Workstation-26,Desk-55,5
3100,Workstation-54,Desk-98,2
3103,Workstation-2,Desk-107,2
3110,Workstation-93,Desk-146,3
3115,Workstation-30,Desk-105,1
3122,Workstation-65,Desk-11,3
3130,Workstation-86,Desk-5,2
3139,Workstation-45,Desk-57,4
3145,Workstation-47,Desk-21,1
3152,Workstation-46,Desk-74,2
3162,Workstation-89,Desk-15,3
3167,Workstation-91,Desk-121,2
3168,Workstation-97,Desk-141,1
3175,Workstation-3,Desk-2,3
3182,Workstation-66,Desk-23,2
3207,Workstation-7,Desk-95,3
3212,Workstation-56,Desk-61,1
3213,Workstation-3,Desk-84,3
3221,Workstation-80,Desk-72,3
3228,Workstation-5,Desk-83,3
3230,Workstation-60,Desk-51,4
3237,Workstation-38,Desk-92,4
3241,Workstation-37,Desk-9,5
3242,Workstation-49,Desk-71,2
3246,Workstation-59,Desk-45,2
3247,Workstation-22,Desk-86,4
3252,Workstation-36,Desk-105,3
3253,Workstation-87,Desk-97,5
3255,Workstation-53,Desk-85,2
3257,Workstation-79,Desk-142,4
3264,Workstation-16,Desk-143,5
3270,Workstation-53,Desk-113,5
3277,Workstation-86,Desk-54,2
3279,Workstation-58,Desk-105,2
3297,Workstation-55,Desk-71,5
3298,Workstation-87,Desk-33,4
3309,Workstation-88,Desk-3,5
3322,Workstation-68,Desk-59,5
3335,Workstation-79,Desk-12,2
3361,Workstation-3,Desk-16,4
3363,Workstation-8,Desk-48,4
3370,Workstation-26,Desk-67,4
3372,Workstation-72,Desk-51,4
3374,Workstation-60,Desk-18,1
3377,Workstation-32,Desk-46,1
3378,Workstation-24,Desk-25,5
3384,Workstation-25,Desk-97,3
3387,Workstation-19,Desk-41,3
3388,Workstation-62,Desk-135,5
3391,Workstation-44,Desk-133,3
3394,Workstation-64,Desk-36,4
3397,Workstation-49,Desk-75,3
3413,Workstation-97,Desk-9,2
3416,Workstation-37,Desk-9,3
3419,Workstation-16,Desk-68,3
3421,Workstation-77,Desk-136,4
3422,Workstation-51,Desk-99,5
3435,Workstation-7,Desk-114,1
3436,Workstation-31,Desk-55,2
3448,Workstation-68,Desk-8,3
3452,Workstation-83,Desk-101,4
3458,Workstation-18,Desk-148,5
3465,Workstation-37,Desk-82,2
3471,Workstation-99,Desk-19,5
3474,Workstation-99,Desk-1,1
3483,Workstation-4,Desk-82,3
3484,Workstation-85,Desk-144,5
3491,Workstation-74,Desk-32,3
3493,Workstation-82,Desk-144,5
3499,Workstation-50,Desk-86,2
3504,Workstation-87,Desk-122,1
3513,Workstation-43,Desk-14,4
3515,Workstation-87,Desk-102,1
3516,Workstation-48,Desk-135,5
3519,Workstation-45,Desk-33,1
3524,Workstation-74,Desk-70,3
3525,Workstation-26,Desk-132,5
3532,Workstation-76,Desk-138,1
3534,Workstation-52,Desk-139,2
3545,Workstation-57,Desk-10,1
3557,Workstation-86,Desk-77,3
3558,Workstation-31,Desk-110,2
3563,Workstation-47,Desk-95,2
3568,Workstation-73,Desk-34,2
3569,Workstation-59,Desk-139,4
3577,Workstation-1,Desk-108,2
3587,Workstation-49,Desk-120,4
3592,Workstation-14,Desk-119,4
3594,Workstation-24,Desk-4,5
3604,Workstation-82,Desk-81,2
3608,Workstation-25,Desk-7,1
3610,Workstation-73,Desk-94,5
3629,Workstation-20,Desk-47,4
3630,Workstation-84,Desk-138,1
3631,Workstation-71,Desk-65,4
3637,Workstation-42,Desk-8,2
3662,Workstation-41,Desk-13,4
3672,Workstation-44,Desk-146,1
3679,Workstation-5,Desk-11,2
3684,Workstation-67,Desk-124,1
3685,Workstation-88,Desk-83,1
3686,Workstation-90,Desk-108,1
3691,Workstation-90,Desk-125,3
3695,Workstation-21,Desk-38,1
3700,Workstation-83,Desk-85,2
3703,Workstation-51,Desk-5,4
3704,Workstation-82,Desk-93,4
3709,Workstation-22,Desk-90,5
3714,Workstation-74,Desk-128,2
3717,Workstation-74,Desk-22,1
3721,Workstation-11,Desk-111,1
3725,Workstation-84,Desk-113,5
3728,Workstation-26,Desk-30,3
3742,Workstation-5,Desk-26,4
3752,Workstation-57,Desk-125,5
3766,Workstation-94,Desk-23,2
3768,Workstation-42,Desk-136,2
3769,Workstation-74,Desk-57,1
3772,Workstation-64,Desk-51,1
3781,Workstation-32,Desk-55,1
3783,Workstation-11,Desk-127,2
3784,Workstation-33,Desk-5,1
3793,Workstation-73,Desk-6,3
3795,Workstation-41,Desk-76,5
3796,Workstation-33,Desk-4,3
3807,Workstation-36,Desk-87,5
3811,Workstation-77,Desk-66,2
3817,Workstation-30,Desk-138,3
3818,Workstation-1,Desk-11,5
3819,Workstation-72,Desk-83,3
3832,Workstation-2,Desk-114,3
3833,Workstation-90,Desk-1,5
3839,Workstation-34,Desk-44,4
3844,Workstation-45,Desk-141,5
3846,Workstation-27,Desk-21,3
3853,Workstation-76,Desk-37,3
3863,Workstation-85,Desk-109,2
3869,Workstation-73,Desk-58,3
3872,Workstation-39,Desk-17,4
3873,Workstation-60,Desk-12,5
3876,Workstation-46,Desk-59,2
3879,Workstation-75,Desk-98,5
3891,Workstation-3,Desk-108,5
3900,Workstation-98,Desk-140,4
3903,Workstation-87,Desk-27,2
3918,Workstation-86,Desk-26,2
3923,Workstation-57,Desk-83,5
3929,Workstation-21,Desk-19,1
3938,Workstation-90,Desk-17,2
3941,Workstation-86,Desk-42,2
3944,Workstation-38,Desk-56,1
3946,Workstation-52,Desk-98,3
3947,Workstation-17,Desk-148,3
3949,Workstation-46,Desk-74,5
3951,Workstation-12,Desk-6,4
3952,Workstation-75,Desk-132,4
3954,Workstation-14,Desk-143,1
3955,Workstation-6,Desk-74,4
3956,Workstation-73,Desk-138,4
3963,Workstation-44,Desk-10,3
3969,Workstation-7,Desk-121,4
3970,Workstation-23,Desk-87,5
3974,Workstation-93,Desk-41,3
